Date,companyid,DayOpen,DayClose
2021-01-08,1,213.610000610352,209.899993896484
2021-01-11,1,203.029998779297,206.789993286133
2021-01-12,1,206.649993896484,208.410003662109
2021-01-13,1,207.149993896484,207.460006713867
2020-10-13,2,160.738207151608,161.135772705078
2020-10-14,2,161.672500187973,162.616729736328
2020-10-15,2,159.297009615668,164.038040161133
2020-10-16,2,166.234631347656,167.725524902344
2020-10-19,2,167.715584957715,166.512924194336
2020-10-20,2,167.178853156276,167.964065551758
2020-10-21,2,168.779085359402,166.383712768555
2020-10-22,2,166.960196206078,168.630004882813
2020-10-23,2,169.369995117188,168.589996337891
2020-10-26,2,166.639999389648,163.199996948242
2020-10-27,2,160.960006713867,157.910003662109
2020-10-28,2,153.800003051758,151.160003662109
2020-10-29,2,150.600006103516,154.669998168945
